"Iter.","Eval.","Best","Time m:s"
0,13,3.69588794465414595e+19,0.08644812499999688
1,26,3.27522702569149809e+19,0.10456029199999506
2,39,3.04708125951237325e+19,0.12271849999999773
3,52,2.56145430332365824e+19,0.13983233399999762
20,273,7.88868920838146560e+18,0.45479829199999955
40,533,7.76701284089759027e+18,1.0151191249999982
60,793,7.62416198649381069e+18,1.498637291999998
80,1053,7.62416198649381069e+18,1.989870124999996
100,1313,7.59596621906027622e+18,2.476089334000001
120,1573,7.57849077923853722e+18,2.964036
140,1833,7.56745129790507418e+18,3.4519109589999957
160,2093,7.56183317971856077e+18,3.9408657919999968
180,2353,7.55534399252814336e+18,4.429808209000001
200,2613,7.55156972583652966e+18,4.9200024589999956
220,2873,7.54577809189920051e+18,5.405435958999995
240,3133,7.54577809189920051e+18,5.892942124999998
260,3393,7.54541654205119078e+18,6.382765458999998
280,3653,7.54497814834423296e+18,6.869946667000001
300,3913,7.54496599218089984e+18,7.355531624999998
320,4173,7.54495035515551949e+18,7.847066166999994
340,4433,7.54493999019783168e+18,8.348024584000001
360,4693,7.54492825022090854e+18,8.886776874999995
380,4953,7.54491881882734899e+18,9.483573374999999
400,5213,7.54491847235589939e+18,9.949443249999995
420,5473,7.54491411268939571e+18,10.438347291999996
440,5733,7.54490880504504320e+18,10.922288375
460,5993,7.54490391335293440e+18,11.397814292
480,6253,7.54489325772082074e+18,11.886032999999998
500,6513,7.54486342060158157e+18,12.368967458999997
520,6773,7.54481360137316250e+18,12.852381874999999
540,7033,7.54479078177991680e+18,13.340523458999996
560,7293,7.54479010414631526e+18,13.827918042
580,7553,7.54478844661972787e+18,14.3117315
600,7813,7.54478825008997786e+18,14.795839833999999
620,8073,7.54478769303616512e+18,15.277913333999997
640,8333,7.54478763121290445e+18,15.758981041999995
660,8593,7.54478742380118221e+18,16.243087791999997
680,8853,7.54478738780595302e+18,16.7273735
700,9113,7.54478735692401562e+18,17.213470584
720,9373,7.54478733344589926e+18,17.697148708999997
740,9633,7.54478732939940762e+18,18.182175375
760,9893,7.54478732173672448e+18,18.664918334
780,10153,7.54478731849591603e+18,19.150186208999997
800,10413,7.54478731168299008e+18,19.634956625
820,10673,7.54478730265045094e+18,20.135627874999997
840,10933,7.54478728489770189e+18,20.632510042
860,11193,7.54478724807631053e+18,21.756768666999996
880,11453,7.54478718744153190e+18,22.126111709
900,11713,7.54478706044367360e+18,22.645004125
920,11973,7.54478675944054374e+18,23.066786375
940,12233,7.54478612093869670e+18,23.616004499999995
960,12493,7.54478522973065216e+18,24.099167291999997
980,12753,7.54478505196844749e+18,24.590578959
1000,13013,7.54478497604530074e+18,25.089697875
1020,13273,7.54478496121202790e+18,25.585332916999995
1040,13533,7.54478495516301824e+18,26.136997
1060,13793,7.54478495240565555e+18,26.684369333999996
1080,14053,7.54478494806068019e+18,27.227397292
1100,14313,7.54478494460667187e+18,27.771078417
1120,14573,7.54478494075302912e+18,28.288078416999994
1140,14833,7.54478493759332147e+18,28.776673249999995
1160,15093,7.54478493163609805e+18,29.258950833999997
1180,15353,7.54478491203335578e+18,29.744391291999996
1200,15613,7.54478487346238464e+18,30.229118375
1220,15873,7.54478483362249626e+18,30.712620375
1240,16133,7.54478480215733862e+18,31.193368334
1260,16393,7.54478480215733862e+18,31.681842500000002
1280,16653,7.54478479794087424e+18,32.16432220899999
1300,16913,7.54478479759387136e+18,32.650500167000004
1320,17173,7.54478479678877696e+18,33.13083770899999
1340,17433,7.54478479544113254e+18,33.616537334
1360,17693,7.54478479303029658e+18,34.128478125
1380,17953,7.54478478909480346e+18,34.639359125
1400,18213,7.54478478576116634e+18,35.128560709
1420,18473,7.54478478384138342e+18,35.63360133399999
1440,18733,7.54478478241806336e+18,36.120861292
1460,18993,7.54478478153808794e+18,36.61708658399999
1480,19253,7.54478478082528768e+18,37.141069208999994
1500,19513,7.54478477987541197e+18,37.699266709
1520,19773,7.54478477894303744e+18,38.28662008399999
1540,20033,7.54478477776531251e+18,39.424551124999994
1560,20293,7.54478477565814682e+18,40.196081084
1580,20553,7.54478477384620544e+18,40.71499299999999
1600,20813,7.54478477272706867e+18,42.096268959
1620,21073,7.54478477236475904e+18,42.71917916699999
1640,21333,7.54478477219655578e+18,43.62931133399999
1660,21593,7.54478477201984000e+18,44.394290709
1680,21853,7.54478477167099494e+18,45.163361917
1700,22113,7.54478477143756595e+18,45.738694542000005
1720,22373,7.54478477129141555e+18,46.264695042
1740,22633,7.54478477122932736e+18,46.794913709
1760,22893,7.54478477121214157e+18,47.32720783399999
1780,23153,7.54478477120888525e+18,47.860928541999996
1800,23413,7.54478477120626790e+18,48.397323291999996
1820,23673,7.54478477120573338e+18,48.942702874999995
1840,23933,7.54478477120408064e+18,49.475536292
1860,24193,7.54478477120352973e+18,50.106635
1880,24453,7.54478477120330752e+18,50.759978042
1900,24713,7.54478477120323994e+18,51.44117475
1920,24973,7.54478477120322048e+18,52.03749075
1940,25233,7.54478477120321434e+18,52.611129625000004
1960,25493,7.54478477120321331e+18,53.216805834
1980,25753,7.54478477120321229e+18,53.86236375
2000,26013,7.54478477120321229e+18,54.504520375
2020,26273,7.54478477120321229e+18,55.28820449999999
2028,26364,7.54478477120321229e+18,56.13792049999999
