"Iter.","Eval.","Best","Time m:s"
0,13,1.80749335352721944e+05,0.2578066250000006
1,26,1.39012723872781004e+05,0.27884095900000005
2,39,1.32346904065968440e+05,0.2971786250000008
3,52,1.06318534597099133e+05,0.3152866249999988
20,273,1.23715893200858245e+04,0.7199514590000007
40,533,9.29272817349106481e+03,1.0746110839999972
60,793,5.07724346708777648e+03,2.05836025
80,1053,1.63824611483966987e+03,2.570519124999997
100,1313,8.34430299858623471e+02,3.078871583999998
120,1573,4.89777097935756103e+02,3.5857990840000014
140,1833,4.07655710851972572e+02,4.097846292
160,2093,3.22345099943483206e+02,4.5974919999999955
180,2353,2.92868948457819613e+02,5.126419499999997
200,2613,2.69750140042769488e+02,5.659091374999996
220,2873,2.44207940269656262e+02,6.238041041999999
240,3133,2.26989077726797717e+02,6.722247834000001
260,3393,2.13492430486094975e+02,7.2210416670000015
280,3653,2.03140664292483052e+02,7.6780100000000004
300,3913,1.94951932955278835e+02,8.132132583999997
320,4173,1.89417924020701662e+02,8.605141541999998
340,4433,1.85398775860315027e+02,9.109029374999999
360,4693,1.82106822457714969e+02,9.634119083999998
380,4953,1.78857532725499226e+02,10.159508541999998
400,5213,1.75386643470762692e+02,10.668236291999996
420,5473,1.72777109260895088e+02,11.159570083999995
440,5733,1.68360160171886378e+02,11.721690291999998
460,5993,1.63034841270720904e+02,12.248715167
480,6253,1.58287437221012397e+02,12.748396749999998
500,6513,1.56319091010376695e+02,13.180833416999995
520,6773,1.54205975143512802e+02,13.644120999999998
540,7033,1.52310297631107773e+02,14.102194833999995
560,7293,1.51248896002867696e+02,14.656706084
580,7553,1.50715361092921569e+02,15.163488791999995
600,7813,1.50338633349078293e+02,15.665039416999996
620,8073,1.50137333282693135e+02,16.166944125
640,8333,1.50058533894029779e+02,16.650965
660,8593,1.50016011005242973e+02,17.134791125
680,8853,1.49991667416385951e+02,17.625350083999997
700,9113,1.49978731212497053e+02,18.108882666999996
720,9373,1.49973915799899487e+02,18.593214959
740,9633,1.49972199063062334e+02,19.086234874999995
760,9893,1.49971459577555692e+02,19.569475374999996
780,10153,1.49970197685398972e+02,20.056503084
800,10413,1.49969507186719682e+02,20.546662124999997
820,10673,1.49969147481320903e+02,21.0340665
840,10933,1.49968854691169611e+02,21.517246125
860,11193,1.49968714995278049e+02,21.999439459
880,11453,1.49968456655050488e+02,22.4875745
900,11713,1.49968212303977879e+02,22.977337833999997
920,11973,1.49967963623424140e+02,23.477717917
940,12233,1.49967692575770144e+02,23.963175624999998
960,12493,1.49967562634139910e+02,24.452742084
980,12753,1.49967497615107106e+02,24.934782124999998
1000,13013,1.49967479355085487e+02,25.423454999999997
1020,13273,1.49967455737848979e+02,25.910290042
1040,13533,1.49967424359833018e+02,26.402141625
1060,13793,1.49967398820575681e+02,26.884557583999992
1080,14053,1.49967355066017518e+02,27.397387417000004
1100,14313,1.49967311540793673e+02,27.890551333999994
1120,14573,1.49967268098857858e+02,28.376150959
1140,14833,1.49967246649530551e+02,28.900352291999994
1160,15093,1.49967236507486149e+02,29.394969916999997
1180,15353,1.49967229021166730e+02,29.878495291999997
1200,15613,1.49967224672673723e+02,30.373702959
1220,15873,1.49967219947593037e+02,30.863069209000003
1240,16133,1.49967208336545724e+02,31.34181875
1260,16393,1.49967197279410897e+02,31.825506625000003
1280,16653,1.49967191024734632e+02,32.315337166999996
1300,16913,1.49967185035676607e+02,32.804112792
1320,17173,1.49967180380985724e+02,33.293667375
1340,17433,1.49967177700412918e+02,33.77960725
1360,17693,1.49967176657543234e+02,34.27422475
1368,17784,1.49967176250727960e+02,34.440711542
