Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
0,0,-2.620042563650772,-7.534911344567172,-3.1669214025547667,-10.341837747583465,8.233387291611715,0.12519824875481922,8.108189042856896
0,1,-7.289434809705623,-4.640962697302145,-2.7271116604203485,-4.8739865908263145,27.38460654074555,0.6090902136552132,26.775516327090337
0,2,-8.620448859519156,-4.826057882842663,-6.963311781884785,-4.0888443921563224,0.03594167000203464,0.02278679450129685,0.013154875500737788
0,3,-3.184793403072029,-5.68968869570929,-2.389086400953623,-3.9070609329695833,63.14713469893703,4.3277499436809626,58.81938475525607
0,4,-6.526822770922047,-2.987009704514025,0.13769411080142202,-6.1674136684988055,6658.691259831395,428.1666358821861,6230.524623949209
0,5,-4.240202067130939,-7.4215867427105895,-8.611311537905449,-6.80407485957453,0.04922577719475168,0.022881973407243402,0.026343803787508276
0,6,-8.726137508089131,-2.02909994524856,-4.211692025235496,-5.687262057044079,1.3930360649008886,0.025204386287552456,1.3678316786133362
0,7,-4.0325764002963895,-5.853394024720199,-8.518952473018427,-3.4156107968870044,0.04930129188195956,0.02289516778876795,0.026406124093191607
0,8,-5.937067981000046,-5.791105526713328,-7.521000851556406,-6.495329001508533,0.03129340548763372,0.022785331785814853,0.008508073701818868
0,9,-8.393114114507888,-6.9658172124706175,-7.328184559805344,-4.252096079310267,0.032538079142210914,0.022783708594581207,0.009754370547629707
0,10,-5.630578491689962,-5.539198377843294,-6.171710565063734,-3.019055440149878,0.2250152426132191,0.02361741598056762,0.20139782663265146
0,11,-6.031469257211687,-3.9535201642905022,-2.581926575086267,-5.068277384588399,35.76709409370695,0.8492977681589768,34.917796325547975
0,12,-3.6627874599673493,-6.351387093854406,-3.0996771950388817,-2.8886643309553115,134.00622038701854,20.893188600342665,113.11303178667588
0,13,-5.173509786344198,-2.522484759093684,-5.01757377980929,-5.66003020052723,0.26143071189309297,0.023082706501886697,0.23834800539120626
0,14,-6.0292315545285184,-7.96660816178022,-4.4176703871209035,-2.9777610308765365,8.945812770637037,0.4636226509443618,8.482190119692675
0,15,-5.324919400444008,-6.212085246064008,-5.547424584561835,-2.7857303764526598,2.3415976926201725,0.06680359298448307,2.2747940996356895
0,16,-5.721243018664197,-8.11740864032469,-5.337447200784785,-9.050255311831236,0.15811817580270815,0.022878142286559912,0.13524003351614824
0,17,-6.05238750464941,-4.952575271156412,-3.0093312051703833,-4.3491845776995275,17.21528567274372,0.43211772884480637,16.783167943898913
0,18,-8.835195574464452,-4.395510368301486,-4.613415875570345,-5.871650535945116,0.6421239477327125,0.02357275270276533,0.6185511950299472
0,19,-7.035582152567616,-3.3353309852857524,-6.364769403522308,-2.3597441383885145,12.694635014679585,0.6793274028136607,12.015307611865925
1,0,-2.576728389995278,-6.620261857041669,-10.327116533370658,-2.8347918976229125,0.5271203688592041,0.04136103250526506,0.48575933635393903
1,1,-4.375221360357152,-5.616684353641683,-3.928720930821898,-6.220502284156091,2.194638974564472,0.029988832469579813,2.1646501420948923
1,2,-3.500872321199239,-10.866864265236696,-7.290898783563369,-5.915444858326859,0.10268082517991663,0.02358931431093313,0.0790915108689835
1,3,-9.403160624384524,-4.833027141548632,-6.508355053443476,-5.537639299035822,0.04338080925498903,0.02279018114780704,0.02059062810718199
1,4,-6.624765892924191,-2.756426535476289,-8.90767419500646,-2.894180556443843,0.02978395667945872,0.022782257827599187,0.0070016988518595315
