Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
0,0,-2.398346428253829,-3.421721988213478,-5.186495823031484,-4.023127148552625,0.040972643816585635,0.026290661743103814,0.014681982073481821
0,1,-1.649853158062664,-4.457015998134153,-5.304112706616687,-5.713936128706856,0.7246832159776396,0.10214407694930769,0.6225391390283319
0,2,-7.957671827821192,-8.849096511315881,-5.541447283438059,-4.331635100461828,0.12351992555889277,0.026248587281978878,0.0972713382769139
0,3,-7.477229875883916,-3.6173685489784586,-6.1508047792403335,-5.243125223203273,0.05454267595452313,0.026135227935942883,0.02840744801858025
0,4,-6.368062754290663,-6.945097494948888,-2.765752765096252,-8.913961405644477,22.655083530481136,0.2728636690872017,22.382219861393935
0,5,-9.912713968779244,-3.9958477262453087,-7.072173021043737,-5.123614548171252,0.03386948898149077,0.02612553768231548,0.007743951299175288
0,6,-7.40852521417548,-4.459631992612708,-7.81158444545974,-3.678477819041675,0.030829595113842666,0.026125589518321533,0.004704005595521133
0,7,-7.258568252066352,-6.809522090290651,-5.546818607520807,-3.7107297937278325,0.16058047953678994,0.026451259264748908,0.13412922027204105
0,8,-4.587467557539169,-7.361221710948196,-6.849987345466034,-5.62269464225636,0.03337332796615957,0.026155366057033218,0.0072179619091263525
0,9,-7.197156841585766,-5.992341577230834,-2.2461693669357747,-4.279711006403624,65.24327711861628,4.048540193670003,61.19473692494628
0,10,-4.09130671096715,-6.707911456771436,-6.365474409699111,-2.850066548855916,0.12187038634659719,0.027602860973112316,0.09426752537348487
0,11,-4.488457542080199,-6.4310095882371225,-4.117170165004769,-5.708741361731785,1.3776311323204133,0.030515731224169916,1.3471154010962434
0,12,-1.5995738312489194,-6.151818608097596,-6.287251079582158,-8.21474778407243,1.8522364489101188,0.2884057047831309,1.5638307441269879
0,13,-6.055588785044908,-2.8826515527644783,-4.126239167743118,-4.418225690324103,1.6079835901347228,0.033224965443914754,1.574758624690808
0,14,-8.067557883503671,-2.6594987094879157,-3.9130504837528237,-2.417141297539794,144.55818672352493,13.281870601497756,131.27631612202717
0,15,-3.9379290168330012,-3.0416772619188457,-3.2461115254851616,-3.972999977267422,10.313389586442339,0.40106788783453784,9.912321698607801
1,0,-3.877388469352763,-4.659170862698744,-3.2305329674561176,-4.433199472200572,8.706284993253213,0.23338485262346656,8.472900140629747
1,1,-3.7654633642752993,-5.032144163297668,-7.704641247008034,-5.116074596110364,0.048653060427132286,0.02632529047711953,0.022327769950012757
1,2,-5.093415098153516,-3.9063991254780284,-7.481990775077138,-8.113183730854832,0.030203107244998514,0.026134074366480433,0.004069032878518081
1,3,-4.917659934395678,-6.486668276841668,-3.5391401155666387,-7.416001221241288,4.697278566420427,0.04588583654921419,4.651392729871213
1,4,-2.995227283457619,-7.073831668352623,-7.267017078654025,-5.204770275558621,0.1685616434906921,0.030451198011448057,0.13811044547924406
1,5,-9.002291330105942,-5.315624310006357,-5.262505170757,-7.737811262788503,0.18399628100246657,0.026235001751800404,0.15776127925066616
1,6,-4.703647499549641,-4.691123641912081,-4.828736369950546,-7.53781690896856,0.34390368378347996,0.026481122357525595,0.3174225614259544
1,7,-6.066160890038696,-7.41597040482887,-7.127463930998523,-5.376857497080245,0.03212900040252414,0.026128372084142246,0.006000628318381891
1,8,-7.695604148132204,-5.1816524190680235,-4.898039057212251,-7.550436337076026,0.3477949650039274,0.026415106156431604,0.3213798588474958
1,9,-9.881210893276249,-6.2729447755687024,-7.605103723842456,-4.49590823885106,0.03128050195292625,0.026126415752407935,0.0051540862005183125
1,10,-5.2432855922135335,-4.006981208112805,-6.747943185174168,-7.46404971626991,0.03400153588343186,0.026127801315700045,0.007873734567731817
1,11,-8.159080330735053,-5.985665824328382,-3.743604571355587,-4.671060195981625,3.3286137446271464,0.04560692871654755,3.283006815910599
2,0,-8.633932527426783,-5.161515375620443,-6.971754827365678,-2.871766420462657,0.07985076612404517,0.026255392405743507,0.053595373718301656
2,1,-5.816975677681964,-6.362830483445778,-10.749357025155199,-5.910266398611308,0.03068378330507776,0.0261412225609108,0.004542560744166962
2,2,-7.761349720485272,-3.3221356064612753,-3.931763773255251,-7.248412132161501,2.2398595723146912,0.03031212604793021,2.209547446266761
2,3,-4.293364094262064,-5.91173096709485,-9.520847070753751,-2.952443683424724,0.03860521921957341,0.02620815572652347,0.012397063493049941
2,4,-1.9970674497889762,-4.756791003544116,-4.379382007608909,-5.816327864343703,0.3196737218831818,0.03835931030842554,0.2813144115747563
2,5,-9.332650275535713,-7.564929719042333,-7.63112550328057,-7.459477854992222,0.031309685922235105,0.026127821857623804,0.0051818640646113
2,6,-6.625766690857588,-5.027536391932496,-7.95588096395508,-4.34935422137967,0.030252565136538276,0.02612923483905995,0.004123330297478325
2,7,-9.930732459052923,-5.1969516123185615,-5.453368233919544,-6.202054549775134,0.13406435484929682,0.026197824859669476,0.10786652998962734
2,8,-11.030898812772357,-6.4100939030399795,-7.156682181480252,-3.386800547133292,0.03738417641644692,0.026127308623551084,0.011256867792895833
